UserId,LoginCount,TotalTimeSpent,TotalSecondsSpent,ActivitiesCount,MeanLoginTime
59,1,0 days 00:14:11,851.0,10.0,18 days 16:34:00
60,5,0 days 02:14:48,8088.0,95.0,8 days 13:47:07
61,13,0 days 18:12:36,65556.0,706.0,3 days 14:28:49.538461
62,9,0 days 01:41:13,6073.0,100.0,5 days 05:01:47.666666
63,0,0,0.0,0.0,0
64,1,0 days 00:01:06,66.0,9.0,13 days 14:40:58
65,6,0 days 02:47:55,10075.0,90.0,7 days 08:28:44.500000
66,0,0,0.0,0.0,0
67,11,0 days 02:57:43,10663.0,258.0,1 days 04:10:45.818181
68,4,0 days 04:13:31,15211.0,164.0,3 days 06:52:23.500000
69,2,0 days 02:18:51,8331.0,65.0,0 days 12:53:15
70,3,0 days 00:04:38,278.0,18.0,4 days 06:27:32
71,1,0 days 00:17:24,1044.0,28.0,0 days 17:39:36
72,0,0.0,0.0,0.0,
73,7,0 days 01:35:37,5737.0,186.0,6 days 17:57:23.571428
74,3,0 days 00:08:08,488.0,34.0,4 days 13:29:14.666666
75,3,0 days 01:27:42,5262.0,57.0,2 days 13:30:45
76,0,0.0,0.0,0.0,
77,4,0 days 00:45:01,2701.0,38.0,11 days 07:29:51
78,0,0.0,0.0,0.0,
79,0,0,0.0,0.0,0
80,8,0 days 04:39:46,16786.0,293.0,4 days 23:47:11
81,1,0 days 00:10:04,604.0,7.0,4 days 08:42:02
82,0,0.0,0.0,0.0,
83,1,0 days 00:27:08,1628.0,26.0,0 days 01:40:56
84,14,0 days 06:12:50,22370.0,169.0,0 days 10:20:23.928571
85,2,0 days 00:39:49,2389.0,29.0,0 days 01:12:10.500000
86,1,0 days 00:05:26,326.0,15.0,4 days 13:00:47
87,0,0,0.0,0.0,0
88,3,0 days 02:26:44,8804.0,174.0,12 days 08:08:47
89,0,0,0.0,0.0,0
90,31,0 days 10:58:37,39517.0,640.0,1 days 06:44:36.193548
91,0,0,0.0,0.0,0
92,0,0.0,0.0,0.0,
93,1,0 days 00:02:25,145.0,8.0,3 days 18:08:08
94,2,0 days 03:27:56,12476.0,144.0,8 days 23:16:20.500000
95,21,0 days 14:15:48,51348.0,666.0,1 days 20:40:29.428571
96,4,0 days 00:19:21,1161.0,45.0,1 days 10:42:20.250000
97,0,0,0.0,0.0,0
98,15,0 days 05:18:44,19124.0,216.0,2 days 03:14:23.333333
99,13,0 days 05:25:21,19521.0,558.0,2 days 22:05:05.538461
100,4,0 days 01:25:34,5134.0,38.0,0 days 15:43:02.500000
101,0,0.0,0.0,0.0,
102,5,0 days 03:09:51,11391.0,344.0,1 days 04:02:50.400000
103,16,0 days 17:25:43,62743.0,711.0,2 days 10:04:10.125000
104,0,0.0,0.0,0.0,
105,15,0 days 06:39:46,23986.0,166.0,2 days 06:52:22.400000
106,4,0 days 01:06:56,4016.0,43.0,5 days 19:50:17.250000
107,2,0 days 00:43:38,2618.0,102.0,12 days 11:46:08.500000
108,1,0 days 01:14:03,4443.0,53.0,7 days 03:34:29
109,0,0,0.0,0.0,0
110,0,0,0.0,0.0,0
111,0,0,0.0,0.0,0
112,0,0.0,0.0,0.0,
113,1,0 days 00:04:25,265.0,7.0,4 days 23:45:12
114,0,0,0.0,0.0,0
